id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
8893;"Charlottenstraße/Chausseestraße";1;583;"highway";"bus_stop";"2016-02-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1449642,52.4149443]}";"";""
9062;"Kiezkantine";1;169;"amenity";"restaurant";"2015-08-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4085542,52.5387906]}";"";""
9082;"LIDL";1;49;"shop";"supermarket";"2014-09-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2665658,52.4418135]}";"";""
9094;"McDonalds";1;165;"amenity";"fast_food";"2016-08-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2868824,52.5839577]}";"";""
9095;"Asado";1;169;"amenity";"restaurant";"2016-04-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3103493,52.5682073]}";"";""
9206;"Froschkönig";1;213;"amenity";"fountain";"2010-09-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4088688,52.5317309]}";"";""
9213;"U Hermannplatz/Urbanstraße";1;396;"public_transport";"stop_position";"2015-11-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.424122,52.4883609]}";"";""
9282;"U Kaiserdamm";1;549;"railway";"subway_entrance";"2016-12-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2823134,52.5098377]}";"";""
9295;"Zwangsarbeiter- Denkmal";1;646;"historic";"memorial";"2009-10-17";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5425538,52.5490444]}";"";""
9296;"Bentschener Weg";1;583;"highway";"bus_stop";"2016-01-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5453036,52.5162302]}";"";""
9297;"Bentschener Weg";1;396;"public_transport";"stop_position";"2016-01-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5453036,52.5162302]}";"";""
9364;"WaschBar mit Stephanus-Shop";1;163;"amenity";"cafe";"2016-04-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5263564,52.456175]}";"";""
9366;"Stammtisch";1;168;"amenity";"pub";"2015-11-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.517537,52.5059696]}";"";""
9369;"Lindencenter";1;192;"amenity";"parking";"2012-04-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5069343,52.5642042]}";"";""
9374;"Schule am Rathaus";1;174;"amenity";"school";"2016-07-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4809829,52.5155725]}";"";""
9376;"Netto Marken-Discount";1;49;"shop";"supermarket";"2016-02-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3350816,52.471662]}";"";""
9397;"Gehrenseestraße";1;396;"public_transport";"stop_position";"2015-12-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5092054,52.5502792]}";"";""
9420;"An der Stammbahn";1;583;"highway";"bus_stop";"2015-05-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2253988,52.4205422]}";"";""
9421;"An der Stammbahn";1;397;"public_transport";"platform";"2015-05-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2253988,52.4205422]}";"";""
